id,name,synonyms
9160003,Gold Exchange,[]
7315019,Greek Restaurant,"['Greek Food', 'Greek Cuisine']"
7315020,Grill Restaurant,"['Grill Cuisine', 'Grill Food', 'Grill', 'Tandoor Shop']"
7315054,Guangdong Restaurant,"['Guangdong Cuisine', 'Guangdong Food', 'Cantonese Food', 'Cantonese Cuisine', 'Cantonese Restaurant']"
7339006,Gurudwara,[]
9361027,Hairdresser,"['Hair Stylist', 'Hair Styling', 'Hair Saloon']"
7315069,Hamburger Restaurant,"['Burgers', 'Burger Joint', 'Hamburgers']"
8099018,Harbor,"['Haven', 'Harbour']"
9361069,Hardware Store,"['Hardware Shop', 'Hardware Supplies']"
7315021,Hawaiian Restaurant,"['Hawaiian Food', 'Hawaiian Cuisine']"
7372006,High School,['Secondary School']
7302004,Hiking Trail,"['Hiking Path', 'Walking Trail']"
8099025,Hill,[]
9362004,Historic Site,[]
9362005,Historical Park,[]
9361053,Hobby Shop,"['Free Time Shop', 'Craft Shop', 'Hobby/Free Time Shop', 'Free Time Store', 'Hobby Store', 'Craft Store']"
9937003,Hockey Club,[]
9352044,Home Appliance Repair,"['Domestic Appliance Repair', 'Electrical Appliance Repair', 'Appliance Repair']"
7374005,Horse Racing Track,"['Horse Race Track', 'Horse Racing', 'Horse Racing Stadium', 'Race Course', 'Race Track']"
7320003,Horse Riding Center,"['Equestrian Centre', 'Equestrian Center', 'Horse Riding', 'Horse Riding Centre']"
7335002,Horticulture,[]
7321005,Hospital for Women and Children,"[""Women's & Children's Hospital""]"
7321004,Hospital of Chinese Medicine,[]
7314004,Hostel,['Hostelry']
7315058,Hot Pot Restaurant,[]
7314003,Hotel,[]
9361028,Carpet/Floor Coverings,[]
9361029,Curtains/Textiles,['Curtains/Textiles Shop']
9361030,Do-It-Yourself Centers,"['DIY Store', 'DIY', 'Do-It-Yourself Centres', 'Do-It-Yourself']"
9361031,House & Garden: Furniture & Fittings,[]
9361032,Garden Centers & Services,"['Garden Services', 'Garden Centers', 'Garden Centre', 'Garden Centres & Services', 'Garden Center']"
9361080,Glass & Windows Store,"['Glass Store', 'Window Shop', 'Glazier', 'Glass Shop', 'Window Store']"
9361033,Kitchens & Bathrooms,['Kitchens & Sanitory Store']
9361034,Lighting Shops,"['Lighting', 'Lighting Store', 'Light Shop', 'Lights', 'Lighting Stores', 'Lamps']"
9361035,Painting & Decorating,[]
7315052,Hunan Restaurant,"['Xiang Food', 'Xiang Cuisine', 'Xiang Restaurant', 'Hunan Cuisine', 'Hunan Food']"
7315022,Hungarian Restaurant,"['Hungarian Food', 'Hungarian Cuisine']"
7315078,Ice Cream Parlor,[]
7374008,Ice Hockey Arena,"['Ice Hockey', 'Ice Rink', 'Ice Hockey Stadium']"
9352042,Import/Export and Distribution,"['Import, Export and Distribution Company']"
7315023,Indian Restaurant,"['Indian Cuisine', 'Indian Food']"
7315024,Indonesian Restaurant,"['Indonesian Food', 'Indonesian Cuisine']"
7332002,Informal Market,[]
9352007,Insurance Company,"['Insurance Agency', 'Insurance', 'Insurance Agent', 'Insurance Broker']"
7315073,International Restaurant,"['International Cuisine', 'International Food']"
7380002,International Railroad Station,['International Railway Station']
9376004,Internet Café,[]
9352037,Investment Advisor,['Financial Advisor']
7315105,Iranian Restaurant,"['Iranian Cuisine', 'Iranian Food']"
7315065,Irish Restaurant,"['Irish Food', 'Irish Cuisine']"
8099022,Island,[]
7315106,Israeli Restaurant,"['Israeli Cuisine', 'Israeli Food']"
7315025,Italian Restaurant,"['Italian Cuisine', 'Italian Food']"
7315066,Jamaican Restaurant,"['Jamaican Cuisine', 'Jamaican Food']"
7315026,Japanese Restaurant,"['Japanese Food', 'Japanese Cuisine']"
9379008,Jazz Club,['Jazz Bar']
9361036,"Jewelry, Clocks & Watches",[]
7315027,Jewish Restaurant,"['Jewish Cuisine', 'Jewish Food']"
7377003,Junior College/Community College,"['TAFE College', 'Technical and Further Education College', 'Polytech', 'Polytechnic', 'Sixth Form College']"
9379010,Karaoke Club,"['Karaoke Bar', 'Karaoke']"
7315028,Korean Restaurant,"['Korean Cuisine', 'Korean Food']"
7315067,Kosher Restaurant,"['Kosher Food', 'Kosher Cuisine']"
8099019,Lagoon,[]
9362006,Lakeshore,['Lakeside']
7372010,Language School,['Language Academy']
7315029,Latin American Restaurant,"['Latin American Food', 'Latin American Cuisine']"
9361045,Laundry,"['Launderette', 'Laundrette', 'Laundry Store', 'Laundromat']"
7315030,Lebanese Restaurant,"['Lebanese Cuisine', 'Lebanese Food']"
9352023,Legal Services,"['Law Service', 'Law Office', 'Law']"
7324003,Local Post Office,[]
9361056,Local Specialities Shop,['Local Specialties Shop']
8099027,Locale,[]
9361071,Lottery Shop,"['Lottery Store', 'Lotto Store', 'Lotto']"
7315107,Luxembourgian Restaurant,"['Luxembourgian Food', 'Luxembourgian Cuisine']"
7315135,Macrobiotic Restaurant,"['Macrobiotic Cuisine', 'Macrobiotic Food']"
7315108,Maghrib Restaurant,"['Maghrib Cuisine', 'Maghreb Restaurant', 'Maghrib Food', 'Maghreb Cuisine', 'Maghreb Food']"
9352008,Delivery Service,[]
7315031,Maltese Restaurant,"['Maltese Cuisine', 'Maltese Food']"
9352011,Manufacturing Company,[]
7347002,Marina,['Boat Basin']
9361065,Marine Electronic Equipment,[]
8099023,Marsh,"['Swamp', 'Wetlands', 'Bog']"
7315109,Mauritian Restaurant,"['Mauritian Food', 'Mauritian Cuisine']"
7376011,Mausoleum/Grave,[]
9352016,Mechanical Engineering,[]
9361043,Medical Supplies & Equipment,"['Medical Distributor', 'Medical Supplies', 'Medical Equipment']"
7315032,Mediterranean Restaurant,"['Mediterranean Cuisine', 'Mediterranean Food']"
9362007,Memorial,[]
7380005,Subway Station,"['Underground Station', 'Metro Station', 'Subway', 'Tube', 'Metro', 'Underground']"
7315033,Mexican Restaurant,"['Mexican Food', 'Mexican Cuisine']"
9376007,Microbrewery,['Independent Brewery']
7315034,Middle Eastern Restaurant,"['Middle Eastern Cuisine', 'Middle Eastern Food']"
7372014,Middle School,"['Junior High', 'Intermediate School']"
7383004,Military Airport,"['Defence Airport', 'Air Force Base']"
8099021,Mineral/Hot Springs,['Spring Bath']
9352031,Mining Company,"['Mining', 'Mine']"
